PC=0000000000000078, REG[ 1]=c4cb86a904c63c93
PC=000000000000007c, REG[ 1]=c4cb86a910168c90
PC=0000000000000080, REG[12]=000000002daa498b
PC=0000000000000084, REG[13]=00000000c4cb86a9
PC=0000000000000088, REG[ 0]=000000000000072d
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=000000000000074d
PC=0000000000000094, ---
PC=0000000000000050, REG[ 3]=000000000b504ffd
PC=0000000000000054, REG[ 4]=0000000000000000
PC=0000000000000058, REG[ 4]=0000000000000001
PC=000000000000005c, REG[ 5]=0000000000000001
PC=0000000000000060, REG[10]=44236d24f9ebea50
PC=0000000000000064, REG[10]=44236d25053c3a4d
PC=0000000000000068, REG[11]=1917e484448a8e19
PC=000000000000006c, REG[11]=1917e4844fdade16
PC=0000000000000070, REG[12]=c1689b03ad1c9bbe
PC=0000000000000074, REG[12]=c1689b03b86cebbb
PC=0000000000000078, REG[10]=0000000044236d25
PC=000000000000007c, REG[11]=000000001917e484
PC=0000000000000080, REG[10]=0000000000000000
PC=0000000000000084, REG[11]=0000000000000000
PC=0000000000000088, REG[ 0]=000000000000076d
PC=000000000000008c, ---
PC=0000000000000090, REG[ 0]=000000000000078d
PC=0000000000000094, ---
